Direito Constitucional;Habeas Corpus;Banca Padrão;Fácil;O Habeas Corpus pode ser impetrado por:;Apenas advogado.;Apenas o Ministério Público.;Qualquer pessoa física, em favor próprio ou de outrem.;Apenas a Defensoria Pública.;;c;Correto. Qualquer pessoa (até estrangeiro, analfabeto, menor) pode impetrar HC, inclusive o próprio paciente.;HC é uma ação popular gratuita para proteger a liberdade de ir e vir.;Art. 5º, LXVIII da CF/88
Matemática;Razão e Proporção;Banca Padrão;Fácil;Numa turma de 40 alunos, 15 são meninas. Qual a razão entre o número de meninos e o número total de alunos?;15/40;25/40;15/25;25/15;;b;Correto. Meninos = Total - Meninas = 40 - 15 = 25. Razão = Meninos / Total = 25/40 (que pode ser simplificado para 5/8).;Leia atentamente o que a questão pede (meninos / total).;
Psicologia (Gestão);Treinamento e Desenvolvimento;Banca Padrão;Fácil;O processo de identificar as necessidades de treinamento em uma organização, comparando o desempenho atual com o desempenho desejado, é chamado de:;Avaliação de Desempenho;Levantamento de Necessidades de Treinamento (LNT);Desenho Instrucional;Avaliação de Reação;;b;Correto. O LNT é a primeira etapa do ciclo de T&D, focada em diagnosticar onde o treinamento é necessário.;LNT = Diagnóstico (Onde treinar?).;
Atualidades;Sociedade;Banca Padrão;Médio;O conceito sociológico que descreve a perda de influência das instituições e crenças religiosas na vida social é chamado de:;Fundamentalismo;Secularização;Globalização;Sincretismo;;b;Correto. Secularização é o processo de 'separação' entre religião e outras esferas da sociedade (política, ciência, etc.).;Secular = Não-religioso, mundano.;
Língua Portuguesa;Verbos (Modos e Tempos);Banca Padrão;Médio;Em 'Se eu tivesse dinheiro, viajaria', os verbos destacados estão, respectivamente, no:;Pretérito Imperfeito do Indicativo e Futuro do Pretérito do Indicativo;Pretérito Imperfeito do Subjuntivo e Futuro do Pretérito do Indicativo;Futuro do Subjuntivo e Futuro do Presente do Indicativo;Pretérito Perfeito do Indicativo e Presente do Indicativo;;b;Correto. 'Tivesse' indica uma condição hipotética no passado (Imperfeito do Subjuntivo). 'Viajaria' indica uma consequência dessa hipótese (Futuro do Pretérito do Indicativo).;Orações condicionais com 'Se' geralmente usam Imperfeito do Subjuntivo + Futuro do Pretérito.;
Direito Administrativo;Licitações (Lei 14.133);Banca Padrão;Médio;Na Nova Lei de Licitações (14.133/21), qual o prazo mínimo de validade das propostas, contado da data de sua apresentação, salvo disposição em contrário no edital?;30 dias;45 dias;60 dias;90 dias;;c;Correto. O Art. 90, § 3º estabelece o prazo mínimo de 60 dias.;É um prazo padrão importante.;Art. 90, § 3º da Lei 14.133/21
Raciocínio Lógico;Lógica de Primeira Ordem;Banca Padrão;Fácil;A sentença 'x é maior que 5' é considerada:;Uma proposição verdadeira.;Uma proposição falsa.;Uma proposição composta.;Uma sentença aberta (ou função proposicional).;;d;Correto. Como o valor lógico (V ou F) depende do valor da variável 'x', ela é uma sentença aberta, não uma proposição.;Sentença Aberta = Depende de uma variável. Proposição = Tem valor V ou F definido.;
Direito Constitucional;Mandado de Segurança;Banca Padrão;Fácil;O Mandado de Segurança é cabível para proteger qual tipo de direito?;Direito à liberdade de locomoção.;Direito à informação pessoal.;Direito líquido e certo, não amparado por Habeas Corpus ou Habeas Data.;Direito de petição.;;c;Correto. O MS é a ação residual para proteger direitos claros e comprováveis de plano, quando não couber HC ou HD.;MS = Direito Líquido e Certo (Residual).;Art. 5º, LXIX da CF/88
Matemática;Equação do 2º Grau;Banca Padrão;Médio;Quais são as raízes da equação x² - 5x + 6 = 0?;2 e 3;-2 e -3;1 e 6;-1 e -6;;a;Correto. Usando Bhaskara (Δ = (-5)² - 416 = 25 - 24 = 1) ou Soma e Produto (Soma=5, Produto=6). As raízes são 2 e 3.;Use a fórmula de Bhaskara ou tente encontrar dois números cuja soma seja -b/a e o produto seja c/a.;x = [-b ± sqrt(Δ)] / 2a
Psicologia (Saúde);Psicofarmacologia;Banca Padrão;Médio;Os medicamentos conhecidos como Inibidores Seletivos da Recaptação de Serotonina (ISRS), como a Fluoxetina e a Sertralina, são usados principalmente para tratar qual tipo de transtorno?;Transtornos Psicóticos (ex: Esquizofrenia);Transtornos de Humor (ex: Depressão e Ansiedade);Transtornos Alimentares;Transtornos por Uso de Substâncias;;b;Correto. ISRS são a classe mais comum de antidepressivos e também eficazes para diversos transtornos de ansiedade.;ISRS aumentam a disponibilidade de serotonina no cérebro.;
Atualidades;Política Internacional;Banca Padrão;Fácil;Qual país asiático é conhecido por sua política externa de neutralidade estrita e por sediar diversas organizações internacionais?;Japão;Coreia do Sul;Suíça;Singapura;;c;Correto. A Suíça tem uma longa tradição de neutralidade e sedia muitos órgãos da ONU e ONGs em Genebra.;A Suíça não faz parte de alianças militares como a OTAN.;
Língua Portuguesa;Vozes Verbais;Banca Padrão;Fácil;A frase 'O relatório foi entregue pelo analista' está na voz:;Ativa;Passiva Analítica;Passiva Sintética;Reflexiva;;b;Correto. Tem a estrutura: Sujeito Paciente ('O relatório') + Verbo Ser Auxiliar ('foi') + Verbo Principal no Particípio ('entregue') + Agente da Passiva ('pelo analista').;Passiva Analítica = Ser + Particípio.;
Direito Administrativo;Agentes Públicos (Lei 8.112);Banca Padrão;Médio;Após adquirir a estabilidade, o servidor público só perderá o cargo em virtude de:;Decisão administrativa simples.;Avaliação de desempenho insatisfatória, assegurada ampla defesa.;Sentença judicial transitada em julgado ou processo administrativo disciplinar (PAD).;Pedido do chefe imediato.;;c;Correto. As hipóteses constitucionais são: Sentença judicial, PAD, avaliação periódica de desempenho (com lei complementar) e excesso de despesa (com lei complementar).;A estabilidade garante proteção contra demissão arbitrária.;Art. 41, § 1º da CF/88
Raciocínio Lógico;Conjuntos;Banca Padrão;Fácil;Se A = {1, 2, 3, 4} e B = {3, 4, 5, 6}, qual é o conjunto A ∩ B (interseção)?;{1, 2, 3, 4, 5, 6};{1, 2};{5, 6};{3, 4};;d;Correto. Interseção (∩) são os elementos que pertencem a AMBOS os conjuntos.;Interseção = O que tem em comum.;
Direito Constitucional;Ações Constitucionais;Banca Padrão;Fácil;Qual ação constitucional pode ser proposta por qualquer cidadão para anular ato lesivo ao patrimônio público, à moralidade administrativa, ao meio ambiente ou ao patrimônio histórico e cultural?;Mandado de Injunção;Ação Civil Pública;Ação Popular;Mandado de Segurança Coletivo;;c;Correto. A Ação Popular é o instrumento do cidadão para fiscalizar a Administração.;Ação Popular = Fiscalização pelo Cidadão.;Art. 5º, LXXIII da CF/88
Matemática;Geometria Espacial;Banca Padrão;Fácil;Qual o volume de um cubo com aresta de 5 cm?;25 cm³;125 cm³;150 cm³;60 cm³;;b;Correto. Volume do cubo = Aresta³. V = 5 * 5 * 5 = 125 cm³.;Volume = Lado * Lado * Lado (ou Aresta³).;V = a³
Psicologia (Saúde);Código de Ética;Banca Padrão;Médio;De acordo com o Código de Ética Profissional do Psicólogo, é vedado ao psicólogo:;Realizar pesquisas científicas.;Prestar serviços em situações de calamidade.;Ser perito em processos judiciais.;Induzir a convicções políticas, filosóficas, morais ou religiosas no exercício profissional.;;d;Correto. O psicólogo deve respeitar a autonomia e os valores do atendido, sem impor os seus.;O psicólogo não deve usar sua posição para influenciar crenças pessoais.;Art. 2º, b) do CEPP
Atualidades;Conflitos Internacionais;Banca Padrão;Médio;A guerra civil que se arrasta há mais de uma década, envolvendo o governo de Bashar al-Assad, grupos rebeldes e potências estrangeiras, ocorre em qual país do Oriente Médio?;Iraque;Síria;Líbano;Iêmen;;b;Correto. A Guerra Civil Síria começou em 2011 e envolve múltiplos atores internos e externos.;A Guerra da Síria gerou uma das maiores crises de refugiados do século XXI.;
Língua Portuguesa;Pronomes Relativos;Banca Padrão;Difícil;Complete a frase: 'Esta é a cidade ___ me refiro.';que;a que;cujo;onde;;b;Correto. Quem se refere, refere-se A algo. A preposição 'a' exigida pelo verbo se junta ao pronome relativo 'que'.;Verifique a regência do verbo ('referir-se A'). A preposição deve vir antes do pronome relativo.;
Direito Administrativo;Intervenção do Estado na Propriedade;Banca Padrão;Difícil;A modalidade de intervenção em que o Estado utiliza temporariamente bens ou serviços privados em caso de perigo público iminente (ex: usar um hospital particular durante uma epidemia), assegurada indenização posterior se houver dano, é a:;Desapropriação;Servidão Administrativa;Requisição Administrativa;Ocupação Temporária;;c;Correto. Requisição é o uso transitório e compulsório em caso de perigo iminente.;Requisição = Perigo Iminente + Uso Temporário + Indenização Posterior (se dano).;Art. 5º, XXV da CF/88
Raciocínio Lógico;Raciocínio Analítico;Banca Padrão;Fácil;Ana é mais alta que Bia. Carla é mais baixa que Ana. Bia não é a mais baixa. Quem é a mais alta?;Ana;Bia;Carla;Impossível determinar.;;a;Correto. Ana > Bia. Ana > Carla. Bia não é a mais baixa (logo, Carla é a mais baixa). A ordem é Ana > Bia > Carla. Ana é a mais alta.;;
Direito Constitucional;Controle de Constitucionalidade (Efeitos);Banca Padrão;Médio;Quando o STF declara uma lei inconstitucional em sede de ADI (Ação Direta de Inconstitucionalidade), a decisão tem, em regra, efeitos:;Ex nunc (não retroativos) e inter partes (só entre as partes).;Ex tunc (retroativos) e erga omnes (para todos).;Ex nunc (não retroativos) e erga omnes (para todos).;Ex tunc (retroativos) e inter partes (só entre as partes).;;b;Correto. A decisão anula a lei desde sua origem (ex tunc) e vale para todos (erga omnes), com efeito vinculante.;ADI = Efeito para Todos (erga omnes) e Retroativo (ex tunc).;
Matemática;Teorema de Pitágoras;Banca Padrão;Fácil;Em um triângulo retângulo, os catetos medem 6 cm e 8 cm. Qual a medida da hipotenusa?;10 cm;12 cm;14 cm;100 cm;;a;Correto. a² = b² + c² => h² = 6² + 8² = 36 + 64 = 100 => h = sqrt(100) = 10 cm.;O quadrado da hipotenusa é igual à soma dos quadrados dos catetos.;a² = b² + c²
Psicologia (Gestão);Seleção por Competências;Banca Padrão;Médio;Na seleção por competências, o que o entrevistador busca identificar no candidato?;Conhecimentos teóricos gerais.;Traços de personalidade estáveis.;Comportamentos passados que demonstrem as competências exigidas.;Apenas a formação acadêmica.;;c;Correto. A premissa é que o comportamento passado é o melhor preditor do comportamento futuro.;Foco no CHA (Conhecimentos, Habilidades, Atitudes) demonstrado por ações passadas.;
Atualidades;Ciência e Tecnologia;Banca Padrão;Médio;A tecnologia de edição genética que permite modificar o DNA de organismos vivos com alta precisão, levantando debates éticos, é conhecida como:;Clonagem;Terapia Gênica;CRISPR-Cas9;Transgênicos;;c;Correto. CRISPR-Cas9 é a ferramenta de 'tesoura molecular' que revolucionou a edição genética.;CRISPR = Edição precisa do DNA.;
Língua Portuguesa;Período Composto;Banca Padrão;Médio;A oração destacada em 'É necessário que todos colaborem' é classificada como:;Subordinada Substantiva Objetiva Direta;Subordinada Substantiva Subjetiva;Subordinada Adjetiva Restritiva;Subordinada Adverbial Condicional;;b;Correto. Funciona como SUJEITO do verbo 'É necessário' ('Isto é necessário').;Troque a oração por 'ISSO'. Se fizer sentido ('ISSO é necessário'), é Substantiva Subjetiva.;
Direito Administrativo;Licitações (Lei 14.133 - Sanções);Banca Padrão;Difícil;A sanção administrativa de 'declaração de inidoneidade para licitar ou contratar com a Administração Pública' prevista na Nova Lei de Licitações:;É aplicável por qualquer órgão da Administração.;Só pode ser aplicada pelo Ministro de Estado, Secretário Estadual ou Municipal.;Tem prazo máximo de 1 ano.;Impede de contratar apenas com o órgão que aplicou a sanção.;;b;Correto. O Art. 156, § 4º estabelece essa competência exclusiva.;Inidoneidade = Sanção mais grave, competência restrita, efeitos amplos.;Art. 156, IV e § 4º da Lei 14.133/21
Raciocínio Lógico;Probabilidade;Banca Padrão;Médio;Qual a probabilidade de, ao retirar uma carta de um baralho comum (52 cartas), ela ser um Rei OU uma carta de Copas?;16/52;17/52;4/52;13/52;;a;Correto. P(Rei OU Copas) = P(Rei) + P(Copas) - P(Rei de Copas). Reis = 4. Copas = 13. Rei de Copas = 1. Prob = (4/52) + (13/52) - (1/52) = 16/52.;Regra do OU (União): P(A U B) = P(A) + P(B) - P(A ∩ B).;
Direito Constitucional;Separação de Poderes;Banca Padrão;Fácil;O sistema de 'freios e contrapesos' (checks and balances) visa:;Concentrar todo o poder no Executivo.;Garantir que um Poder possa controlar os excessos dos outros.;Eliminar a necessidade do Poder Judiciário.;Subordinar o Legislativo ao Executivo.;;b;Correto. É o mecanismo de controle mútuo entre Executivo, Legislativo e Judiciário para evitar abusos.;Ex: Veto presidencial (Executivo freia Legislativo), Impeachment (Legislativo freia Executivo), Controle de Constitucionalidade (Judiciário freia os outros).;
Matemática;Análise Combinatória;Banca Padrão;Médio;Quantos anagramas (permutações das letras) tem a palavra 'BOLO'?;4;12;24;6;;b;Correto. É uma permutação com repetição. P = n! / (n1! * n2! * ...). Temos 4 letras, com 'O' repetindo 2 vezes. P = 4! / 2! = (4*3*2*1) / (2*1) = 24 / 2 = 12.;Permutação com Repetição: n! dividido pelo fatorial das repetições.;P(n, n1, n2...) = n! / (n1! * n2! ...)
Psicologia (Saúde);Psicologia Social;Banca Padrão;Médio;O fenômeno psicossocial em que indivíduos em um grupo tendem a diminuir seu esforço individual, acreditando que outros farão o trabalho, é chamado de:;Efeito Manada;Pensamento de Grupo (Groupthink);Vadiagem Social (Social Loafing);Facilitação Social;;c;Correto. Vadiagem Social é a tendência de 'pegar carona' no esforço do grupo.;Vadiagem = Esforço reduzido em grupo.;
Atualidades;Brasil;Banca Padrão;Fácil;Qual bioma brasileiro, conhecido como a 'savana brasileira', cobre grande parte do território central do país e é caracterizado por árvores tortuosas e grande biodiversidade?;Amazônia;Mata Atlântica;Cerrado;Caatinga;;c;Correto. O Cerrado é o segundo maior bioma brasileiro.;Cerrado = Savana Brasileira.;
Língua Portuguesa;Regência Nominal;Banca Padrão;Médio;Assinale a alternativa em que a regência nominal está INCORRETA:;Ele tem aversão de multidões.;Tenho certeza de que ele virá.;Sou grato por sua ajuda.;Ele estava ansioso para viajar.;;a;Correto (é a incorreta). O substantivo 'aversão' pede a preposição 'a' (aversão A algo).;Substantivos e adjetivos também exigem preposições específicas.;
Direito Administrativo;Improbidade Administrativa (Lei 8.429/92);Banca Padrão;Difícil;Após as alterações promovidas pela Lei 14.230/2021, para que um ato seja considerado improbidade administrativa, é necessária a comprovação de:;Apenas a ilegalidade do ato.;Culpa ou dolo do agente.;Apenas o dano ao erário.;Dolo específico do agente.;;d;Correto. A nova lei exige a comprovação do dolo (intenção) do agente para configurar o ato de improbidade em quase todas as hipóteses.;Nova Lei de Improbidade = Exigência de DOLO.;
Raciocínio Lógico;Tautologia, Contradição, Contingência;Banca Padrão;Difícil;A proposição '(P -> Q) v P' (Se P, então Q, OU P) é um exemplo de:;Tautologia;Contradição;Contingência;Equivalência;;a;Correto. Construindo a tabela verdade, o resultado final será sempre Verdadeiro (V), independentemente dos valores de P e Q. (P->Q) é F só se P=V e Q=F. Se P=V, P é V, logo (F v V = V). Se P=F, (P->Q) é V, logo (V v F = V).;Tautologia = Sempre Verdadeiro.;
Direito Constitucional;Processo Legislativo;Banca Padrão;Médio;Qual o quórum (número mínimo de votos) necessário para aprovação de uma Proposta de Emenda à Constituição (PEC) em cada Casa do Congresso Nacional?;Maioria simples;Maioria absoluta;Três quintos (3/5) dos membros;Dois terços (2/3) dos membros;;c;Correto. A PEC exige votação em dois turnos, em cada Casa, com aprovação por 3/5 dos respectivos membros.;PEC = Quórum Qualificado (3/5), Dois Turnos, Duas Casas.;Art. 60, § 2º da CF/88
Matemática;Função Exponencial;Banca Padrão;Fácil;Qual o valor de 2 elevado a -3 (2⁻³)?;-6;-8;1/6;1/8;;d;Correto. Expoente negativo inverte a base e torna o expoente positivo: 2⁻³ = (1/2)³ = 1³/2³ = 1/8.;Expoente negativo = Inverte a base.;a⁻ⁿ = 1/aⁿ
Psicologia (Saúde);Teorias do Desenvolvimento (Erikson);Banca Padrão;Médio;Segundo Erik Erikson, qual é o principal conflito psicossocial vivenciado durante a adolescência (aproximadamente 12 a 18 anos)?;Confiança vs. Desconfiança;Iniciativa vs. Culpa;Identidade vs. Confusão de Papéis;Intimidade vs. Isolamento;;c;Correto. A busca pela identidade ('Quem sou eu?') é a crise central da adolescência.;Erikson descreveu 8 estágios psicossociais ao longo da vida.;
Atualidades;Saúde Pública;Banca Padrão;Fácil;A pandemia que assolou o mundo a partir do final de 2019 foi causada por qual vírus?;Influenza H1N1;Vírus Ebola;SARS-CoV-2;HIV;;c;Correto. SARS-CoV-2 é o coronavírus causador da COVID-19.;COVID-19 foi causada pelo novo coronavírus (SARS-CoV-2).;
Língua Portuguesa;Vozes Verbais (Passiva Sintética);Banca Padrão;Médio;A frase 'Alugam-se casas' tem o sujeito:;Indeterminado;Casas (sujeito paciente);Oculto (eles);Inexistente;;b;Correto. A frase equivale a 'Casas são alugadas'. 'Casas' é o sujeito que sofre a ação.;VTD + SE = Voz Passiva Sintética. O objeto direto da ativa vira sujeito paciente.;
Direito Administrativo;Organização Administrativa;Banca Padrão;Médio;Uma empresa criada pelo Estado, com personalidade jurídica de direito privado, capital exclusivamente público e que pode exercer atividade econômica ou prestar serviço público é uma:;Autarquia;Fundação Pública de Direito Privado;Sociedade de Economia Mista;Empresa Pública;;d;Correto. Empresa Pública (ex: Correios, Caixa Econômica) tem capital 100% público e personalidade de direito privado.;Empresa Pública = 100% Pública, Dir. Privado. Soc. Economia Mista = Capital Misto, Dir. Privado.;
Raciocínio Lógico;Diagramas Lógicos;Banca Padrão;Médio;Se todo A é B e algum B é C, pode-se concluir que:;Todo A é C.;Algum A é C.;Nenhum A é C.;Nenhuma conclusão válida sobre A e C.;;d;Correto. O termo médio (B) não está distribuído em nenhuma premissa, impedindo a conclusão.;Analise diagramas de Venn.;
Língua Portuguesa;Ortografia;Banca Padrão;Médio;Qual palavra está grafada CORRETAMENTE?;Paralizar;Analizar;Pesquisar;Atrazado;;c;Correto. 'Pesquisar' é com 's'.;Verbos terminados em '-isar' são com 's' se a palavra primitiva já tiver 's' (ex: análise -> analisar). Se não tiver, usa-se 'z' (ex: útil -> utilizar). 'Pesquisa' tem 's'.;
Direito Administrativo;Princípios;Banca Padrão;Fácil;O princípio que veda a promoção pessoal de autoridades ou servidores públicos em publicidade de atos, programas, obras e serviços governamentais é o da:;Legalidade;Moralidade;Impessoalidade;Eficiência;;c;Correto. A impessoalidade proíbe que a publicidade tenha nomes, símbolos ou imagens que caracterizem promoção pessoal.;A publicidade deve ter caráter educativo, informativo ou de orientação social.;Art. 37, § 1º da CF/88
Raciocínio Lógico;Lógica Proposicional;Banca Padrão;Médio;Qual conectivo lógico corresponde à operação 'OU... OU...' (disjunção exclusiva)?;Conjunção (^);Disjunção Inclusiva (v);Condicional (->);Disjunção Exclusiva (v̲);;d;Correto. A disjunção exclusiva só é verdadeira se APENAS UM dos componentes for verdadeiro.;'Ou chove ou faz sol' (não ambos).;P v̲ Q
Direito Constitucional;Direitos Fundamentais (Remédios);Banca Padrão;Médio;Qual o prazo para impetrar Mandado de Segurança?;Não há prazo.;5 dias.;60 dias.;120 dias.;;d;Correto. O direito de impetrar MS extingue-se após 120 dias, contados da ciência do ato impugnado.;É um prazo decadencial (não se suspende nem interrompe).;Lei 12.016/2009, Art. 23
Matemática;Álgebra (Inequações);Banca Padrão;Fácil;Qual o conjunto solução da inequação 3x - 6 > 9?;x > 5;x < 5;x > 1;x < 1;;a;Correto. 3x - 6 > 9 => 3x > 9 + 6 => 3x > 15 => x > 15/3 => x > 5.;Resolva como uma equação normal, mas mantenha o sinal de desigualdade (só inverte se multiplicar/dividir por negativo).;
Psicologia (Gestão);Gestão por Competências;Banca Padrão;Fácil;O que significa o 'C' na sigla CHA, utilizada na gestão por competências?;Carisma;Comunicação;Conhecimento;Comportamento;;c;Correto. CHA representa Conhecimentos (saber teórico), Habilidades (saber fazer) e Atitudes (querer fazer/ser).;CHA = Conhecimento + Habilidade + Atitude.;
Atualidades;Brasil (Economia);Banca Padrão;Fácil;O principal produto de exportação do agronegócio brasileiro, em termos de valor, tem sido historicamente:;Café;Açúcar;Soja;Carne Bovina;;c;Correto. O complexo soja (grão, farelo, óleo) lidera as exportações do agro brasileiro há muitos anos.;O Brasil é um dos maiores produtores e exportadores de soja do mundo.;
Língua Portuguesa;Figuras de Linguagem;Banca Padrão;Médio;A repetição intencional da mesma conjunção (geralmente 'e') em uma sequência de orações ou termos é chamada de:;Assíndeto;Polissíndeto;Anáfora;Pleonasmo;;b;Correto. Polissíndeto é a REPETIÇÃO da conjunção (ex: E chora, e ri, e grita).;Poli = Muitos. Síndeto = Conjunção.;
Direito Administrativo;Servidores Públicos (Acumulação);Banca Padrão;Médio;A Constituição Federal permite a acumulação remunerada de cargos públicos APENAS em algumas hipóteses. Qual das seguintes acumulações é PERMITIDA, havendo compatibilidade de horários?;Dois cargos de professor.;Um cargo de professor com outro técnico ou científico.;Dois cargos ou empregos privativos de profissionais de saúde.;Todas as anteriores estão corretas.;;d;Correto. Todas as três hipóteses estão previstas no Art. 37, XVI da CF/88, desde que haja compatibilidade de horários.;A regra é a proibição, as exceções são essas três.;Art. 37, XVI da CF/88
Raciocínio Lógico;Sequências Lógicas (Figuras);Banca Padrão;Fácil;Observe a sequência: Quadrado, Triângulo, Círculo, Quadrado, Triângulo, ... Qual a próxima figura?;Quadrado;Triângulo;Círculo;Pentágono;;c;Correto. O padrão que se repete é 'Quadrado, Triângulo, Círculo'.;Identifique o bloco que se repete.;
Direito Constitucional;Direitos Fundamentais;Banca Padrão;Fácil;Qual direito fundamental assegura que 'ninguém será privado da liberdade ou de seus bens sem o devido processo legal'?;Princípio da Legalidade;Princípio da Igualdade;Princípio do Contraditório e Ampla Defesa;Princípio do Devido Processo Legal;;d;Correto. Esta é a definição do 'Due Process of Law'.;É a garantia mais ampla de um julgamento justo.;Art. 5º, LIV da CF/88
Matemática;Porcentagem;Banca Padrão;Médio;Um produto teve um desconto de 20% e passou a custar R$ 160,00. Qual era o preço original?;R$ 180,00;R$ 192,00;R$ 200,00;R$ 210,00;;c;Correto. Se teve 20% de desconto, R$ 160 corresponde a 80% (100% - 20%) do preço original (P). 0,80 * P = 160 => P = 160 / 0,80 => P = 200.;Use regra de três: 160 está para 80%, assim como X está para 100%.;Preço Final = Preço Original * (1 - taxa de desconto)
Psicologia (Saúde);Psicologia do Desenvolvimento (Vygotsky);Banca Padrão;Médio;O conceito de 'Zona de Desenvolvimento Proximal' (ZDP), introduzido por Vygotsky, refere-se:;Às habilidades que a criança já domina.;À distância entre o desenvolvimento real e o desenvolvimento potencial.;Às fases do desenvolvimento psicossexual.;Aos reflexos inatos do bebê.;;b;Correto. ZDP é o espaço entre o que a criança faz sozinha e o que ela pode fazer com ajuda (de um adulto ou colega mais capaz).;ZDP = Potencial de Aprendizagem com Mediação.;
Atualidades;Tecnologia (IA);Banca Padrão;Médio;O teste proposto por Alan Turing para avaliar a capacidade de uma máquina exibir comportamento inteligente equivalente ao de um ser humano (ou indistinguível dele) é conhecido como:;Teste de Rorschach;Teste de QI;Jogo da Imitação (Teste de Turing);Teorema da Incompletude;;c;Correto. O 'Jogo da Imitação', descrito por Turing em 1950, é a base do famoso Teste de Turing.;A máquina 'passa' no teste se um interrogador humano não consegue distinguir suas respostas das de outro humano.;
Língua Portuguesa;Semântica (Sentido das Palavras);Banca Padrão;Fácil;Qual palavra significa 'adiar', 'prolongar'?;"\""Protelar\""";"\""Ratelar\""";"\""Interpelar\""";"\""Estrelar\""";;a;Correto. Protelar é sinônimo de adiar, postergar, procrastinar.;Protelar = Jogar para frente.;
Direito Administrativo;Atos Administrativos (Atributos);Banca Padrão;Médio;Qual atributo do ato administrativo permite que a Administração Pública execute suas decisões por meios próprios, sem necessidade de recorrer previamente ao Judiciário?;Presunção de Legitimidade;Imperatividade;Autoexecutoriedade;Tipicidade;;c;Correto. Autoexecutoriedade é a capacidade de executar o ato diretamente (ex: interditar um estabelecimento, demolir obra irregular).;Autoexecutoriedade = Executar por conta própria.;
Raciocínio Lógico;Equivalência Lógica;Banca Padrão;Médio;A proposição 'Se o gato mia, então o rato se esconde' é logicamente equivalente a:;Se o rato se esconde, então o gato mia.;Se o gato não mia, então o rato não se esconde.;Se o rato não se esconde, então o gato não mia.;O gato mia e o rato não se esconde.;;c;Correto. Esta é a 'Contrapositiva' (~Q -> ~P), que é sempre equivalente à original (P -> Q).;A equivalência mais importante da condicional é a Contrapositiva: P -> Q <=> ~Q -> ~P.;
Direito Constitucional;Direitos Sociais (Trabalhadores);Banca Padrão;Médio;Qual o prazo prescricional para o trabalhador urbano ou rural reclamar créditos resultantes das relações de trabalho?;2 anos após a extinção do contrato.;5 anos durante o contrato, limitado a 2 anos após a extinção.;5 anos após a extinção do contrato.;Não há prazo prescricional.;;b;Correto. O trabalhador pode reclamar os direitos dos últimos 5 anos de contrato, mas tem o prazo de até 2 anos após o fim do contrato para entrar com a ação.;São dois prazos cumulativos: 5 anos (prescrição quinquenal) e 2 anos (prescrição bienal).;Art. 7º, XXIX da CF/88
Matemática;Volume;Banca Padrão;Fácil;Uma caixa d'água tem formato de paralelepípedo com dimensões 2m x 3m x 1,5m. Qual seu volume em metros cúbicos?;6 m³;9 m³;13,5 m³;10 m³;;b;Correto. Volume = Comprimento * Largura * Altura. V = 2 * 3 * 1,5 = 6 * 1,5 = 9 m³.;Volume do Paralelepípedo = C * L * A.;V = C * L * A
Psicologia (Gestão);Seleção de Pessoas;Banca Padrão;Médio;A técnica de seleção que simula situações reais do trabalho para observar o comportamento dos candidatos (ex: dinâmica de grupo, estudo de caso) é chamada de:;Entrevista;Teste Psicológico;Prova de Conhecimentos;Método de Simulação (ou Prova Situacional);;d;Correto. Simulações buscam avaliar o 'saber fazer' e o 'saber ser' em contexto.;Observar o candidato 'em ação'.;
Atualidades;Brasil (Política);Banca Padrão;Médio;O sistema eleitoral utilizado no Brasil para eleger Deputados Federais, Estaduais e Vereadores é o:;Majoritário;Distrital Misto;Proporcional de Lista Aberta;Proporcional de Lista Fechada;;c;Correto. Os votos vão para o partido/coligação e para o candidato. As vagas são distribuídas aos partidos (quociente eleitoral) e preenchidas pelos candidatos mais votados dentro do partido (lista aberta).;O sistema proporcional visa representar as diferentes correntes de opinião.;
Língua Portuguesa;Coesão Textual;Banca Padrão;Fácil;Qual elemento coesivo estabelece uma relação de ADVERSIDADE (oposição) entre as ideias?;Portanto;Além disso;Embora;Contudo;;d;Correto. 'Contudo', 'mas', 'porém', 'entretanto', 'todavia' indicam oposição direta.;Adversidade = Ideias Opostas.;
Direito Administrativo;Processo Administrativo (Lei 9.784);Banca Padrão;Médio;A Lei do Processo Administrativo Federal (9.784/99) estabelece que um ato administrativo que apresente defeitos sanáveis pode ser:;Anulado;Revogado;Convalidado;Cassado;;c;Correto. Convalidação é o ato de 'corrigir' um vício sanável, com efeitos retroativos (ex tunc).;Convalidar = Tornar Válido (o que era 'quase' válido).;Art. 55 da Lei 9.784/99
Raciocínio Lógico;Tabela Verdade (Implicação);Banca Padrão;Fácil;Se P é Verdadeiro (V) e Q é Falso (F), qual o valor lógico de P -> Q?;Verdadeiro (V);Falso (F);Indeterminado;Nenhum dos dois.;;b;Correto. A condicional (Se P, então Q) só é Falsa na combinação V -> F (Regra do 'Vera Fischer').;Lembre-se: 'Vera Fischer é Falsa'.;
Direito Constitucional;Poder Judiciário (STF);Banca Padrão;Fácil;Quantos Ministros compõem o Supremo Tribunal Federal (STF)?;9;11;15;33;;b;Correto. O STF é composto por 11 Ministros.;É o órgão de cúpula do Judiciário brasileiro.;Art. 101 da CF/88
